tahun,wilayah,penyebab,jumlah
2020,Kepulauan Seribu,LISTRIK,1
2020,Kepulauan Seribu,GAS,5
2020,Kepulauan Seribu,LILIN,0
2020,Kepulauan Seribu,MEMBAKAR SAMPAH,0
2020,Kepulauan Seribu,ROKOK,2
2020,Kepulauan Seribu,LAINNYA,1
2020,Jakarta Selatan,LISTRIK,266
2020,Jakarta Selatan,GAS,57
2020,Jakarta Selatan,LILIN,0
2020,Jakarta Selatan,MEMBAKAR SAMPAH,14
2020,Jakarta Selatan,ROKOK,5
2020,Jakarta Selatan,LAINNYA,55
2020,Jakarta Timur,LISTRIK,202
2020,Jakarta Timur,GAS,32
2020,Jakarta Timur,LILIN,0
2020,Jakarta Timur,MEMBAKAR SAMPAH,38
2020,Jakarta Timur,ROKOK,13
2020,Jakarta Timur,LAINNYA,64
2020,Jakarta Pusat,LISTRIK,108
2020,Jakarta Pusat,GAS,21
2020,Jakarta Pusat,LILIN,3
2020,Jakarta Pusat,MEMBAKAR SAMPAH,8
2020,Jakarta Pusat,ROKOK,1
2020,Jakarta Pusat,LAINNYA,19
2020,Jakarta Barat,LISTRIK,201
2020,Jakarta Barat,GAS,32
2020,Jakarta Barat,LILIN,1
2020,Jakarta Barat,MEMBAKAR SAMPAH,36
2020,Jakarta Barat,ROKOK,10
2020,Jakarta Barat,LAINNYA,53
2020,Jakarta Utara,LISTRIK,160
2020,Jakarta Utara,GAS,33
2020,Jakarta Utara,LILIN,3
2020,Jakarta Utara,MEMBAKAR SAMPAH,27
2020,Jakarta Utara,ROKOK,5
2020,Jakarta Utara,LAINNYA,29
